Year,State,County,fcst
2020,TN,Jackson,2
2020,TN,Jefferson,0
2020,TN,Knox,113
2020,TN,Lawrence,0
2020,TN,Loudon,8
2020,TN,McMinn,1
2020,TN,Macon,2
2020,TN,Madison,17
2020,TN,Marshall,1
2020,TN,Maury,6
2020,TN,Montgomery,29
2020,TN,Overton,2
2020,TN,Perry,2
2020,TN,Polk,2
2020,TN,Putnam,31
2020,TN,Rhea,0
2020,TN,Roane,0
2020,TN,Rutherford,72
2020,TN,Scott,1
2020,TN,Sevier,50
2020,TN,Shelby,120
2020,TN,Smith,2
2020,TN,Stewart,0
2020,TN,Sullivan,29
2020,TN,Sumner,6
2020,TN,Unicoi,2
2020,TN,Van Buren,2
2020,TN,Warren,3
2020,TN,Washington,10
2020,TN,Weakley,1
2020,TN,White,2
2020,TN,Williamson,61
2020,TN,Wilson,13
2020,TX,Anderson,1
2020,TX,Angelina,1
2020,TX,Aransas,9
2020,TX,Austin,2
2020,TX,Bandera,0
2020,TX,Bastrop,26
2020,TX,Bell,18
2020,TX,Bexar,208
2020,TX,Blanco,7
2020,TX,Bowie,8
2020,TX,Brazoria,41
2020,TX,Brazos,29
2020,TX,Burnet,2
2020,TX,Calhoun,2
2020,TX,Cameron,21
2020,TX,Collin,185
2020,TX,Colorado,10
2020,TX,Comal,15
2020,TX,Coryell,1
2020,TX,Crockett,10
2020,TX,Culberson,12
2020,TX,Dallas,522
2020,TX,Denton,86
2020,TX,DeWitt,3
2020,TX,Dickens,0
2020,TX,Eastland,12
2020,TX,Ellis,17
2020,TX,El Paso,49
2020,TX,Fayette,9
2020,TX,Fort Bend,69
2020,TX,Galveston,51
2020,TX,Gillespie,13
2020,TX,Gonzales,1
2020,TX,Grayson,13
2020,TX,Gregg,10
2020,TX,Grimes,3
2020,TX,Guadalupe,16
2020,TX,Hamilton,4
2020,TX,Hardin,2
2020,TX,Harris,665
2020,TX,Harrison,4
2020,TX,Hays,43
2020,TX,Henderson,3
2020,TX,Hidalgo,24
2020,TX,Hill,2
2020,TX,Hood,4
2020,TX,Hopkins,8
2020,TX,Hunt,1
2020,TX,Jackson,3
2020,TX,Jasper,2
2020,TX,Jefferson,9
2020,TX,Johnson,13
2020,TX,Kaufman,0
2020,TX,Kendall,8
2020,TX,Kerr,13
2020,TX,Kleberg,9
2020,TX,Lampasas,5
2020,TX,Lee,8
2020,TX,Leon,0
2020,TX,Llano,5
2020,TX,Lubbock,9
2020,TX,McLennan,31
2020,TX,Matagorda,5
2020,TX,Maverick,2
2020,TX,Midland,14
2020,TX,Montgomery,57
2020,TX,Moore,16
2020,TX,Nacogdoches,8
2020,TX,Navarro,10
2020,TX,Nolan,12
2020,TX,Nueces,37
2020,TX,Ochiltree,1
2020,TX,Orange,4
2020,TX,Parker,5
2020,TX,Pecos,12
2020,TX,Polk,0
2020,TX,Potter,22
2020,TX,Presidio,3
2020,TX,Randall,3
2020,TX,Real,0
2020,TX,Reeves,15
2020,TX,Rockwall,21
2020,TX,Runnels,1
2020,TX,San Patricio,3
2020,TX,Smith,18
2020,TX,Tarrant,229
2020,TX,Taylor,6
2020,TX,Titus,4
2020,TX,Tom Green,2
2020,TX,Travis,591
2020,TX,Uvalde,2
2020,TX,Val Verde,1
2020,TX,Van Zandt,1
2020,TX,Victoria,10
2020,TX,Walker,16
2020,TX,Waller,3
2020,TX,Washington,8
2020,TX,Webb,14
2020,TX,Wharton,2
2020,TX,Wheeler,6
2020,TX,Wichita,5
2020,TX,Williamson,94
2020,TX,Wilson,3
2020,VA,Accomack,4
2020,VA,Albemarle,41
2020,VA,Alleghany,1
2020,VA,Arlington,216
2020,VA,Augusta,16
2020,VA,Bath,3
2020,VA,Bedford,4
2020,VA,Bedford,4
2020,VA,Botetourt,10
2020,VA,Campbell,16
2020,VA,Caroline,1
2020,VA,Chesterfield,42
2020,VA,Clarke,6
2020,VA,Culpeper,5
2020,VA,Essex,0
2020,VA,Fairfax,362
2020,VA,Fairfax,362
2020,VA,Fauquier,16
2020,VA,Floyd,2
2020,VA,Fluvanna,2
2020,VA,Franklin,1
2020,VA,Franklin,1
2020,VA,Frederick,14
2020,VA,Giles,2
2020,VA,Goochland,25
2020,VA,Halifax,4
2020,VA,Hanover,11
2020,VA,Henrico,121
2020,VA,Henry,2
2020,VA,Isle of Wight,4
2020,VA,James City,6
2020,VA,King George,8
2020,VA,Lancaster,3
2020,VA,Loudoun,165
2020,VA,Louisa,6
2020,VA,Madison,11
2020,VA,Mecklenburg,6
2020,VA,Middlesex,2
2020,VA,Montgomery,19
2020,VA,Nelson,1
2020,VA,New Kent,1
2020,VA,Northumberland,3
